student_id,age,study_hours,attendance,previous_score,assignments_completed,sleep_hours,extracurricular_hours,internet_access,parental_support,final_score,performance,support_required
S0074,19,7.3,92.4,80.4,3,8.9,0.5,1,5,93.9,Good,0
S0075,19,5.7,61.4,94.8,3,5.2,3.4,1,2,71.9,Good,1
S0076,17,1.3,62.4,70.8,5,5.5,2.1,1,3,60.5,Average,1
S0077,20,5.6,72.3,49.8,3,6.2,1.9,1,3,73.9,Good,0
S0078,21,5.2,75.8,73.5,3,6.5,0.3,1,4,81.1,Good,0
S0079,20,6.4,98.0,55.8,5,8.1,3.6,1,4,77.8,Good,0
S0080,17,2.5,97.4,68.2,6,6.2,2.1,1,3,56.6,Average,1
S0081,20,7.7,98.5,65.3,9,4.2,3.5,0,3,93.8,Good,0
S0082,18,7.2,87.8,71.0,6,7.5,0.3,1,4,87.3,Good,0
S0083,22,1.8,85.5,90.7,8,5.1,2.7,1,1,78.3,Good,0
S0084,22,3.2,67.2,84.6,7,8.4,1.5,1,1,88.4,Good,1
S0085,18,1.2,71.8,62.8,9,5.1,2.1,1,5,80.4,Good,0
S0086,20,6.8,55.1,85.0,5,5.5,2.5,1,1,82.6,Good,1
S0087,22,7.4,92.5,87.3,10,4.7,3.3,1,1,100.0,Good,0
S0088,22,7.9,67.4,82.6,4,5.5,3.7,1,2,98.6,Good,1
S0089,21,5.3,58.6,70.3,3,7.0,0.7,1,3,71.8,Good,1
S0090,20,5.7,69.2,89.5,9,5.3,3.4,1,2,91.0,Good,1
S0091,17,5.7,69.5,67.1,7,4.2,0.5,1,1,82.9,Good,1
S0092,21,5.0,87.6,45.8,5,6.9,0.0,1,4,73.7,Good,0
S0093,19,7.7,55.3,55.0,4,7.7,1.2,1,4,75.1,Good,1
S0094,17,5.3,65.4,76.2,5,4.5,1.1,1,1,67.6,Average,1
S0095,18,3.4,95.3,60.9,8,6.1,3.1,1,1,75.2,Good,0
S0096,20,4.6,93.5,63.3,6,4.3,2.2,1,1,69.9,Average,0
S0097,21,1.1,83.3,62.1,3,4.1,1.6,1,2,60.5,Average,0
S0098,20,6.1,80.2,50.6,5,5.9,3.2,1,3,73.3,Good,0
S0099,20,5.9,65.0,45.1,7,5.4,3.7,1,5,86.8,Good,1
S0100,22,3.9,94.4,42.7,8,8.4,2.6,1,1,83.0,Good,0
S0101,21,7.0,89.2,77.0,7,4.1,2.6,1,1,79.1,Good,0
S0102,19,6.3,78.1,57.8,3,7.2,3.4,1,4,85.5,Good,0
S0103,20,3.4,62.2,65.1,4,7.7,1.2,1,3,62.9,Average,1
S0104,20,1.5,64.7,91.4,5,6.1,4.0,1,2,76.7,Good,1
S0105,17,1.9,72.1,74.5,8,6.5,0.7,0,5,75.6,Good,0
S0106,17,2.3,69.9,84.6,6,5.2,0.2,1,2,68.9,Average,1
S0107,20,3.1,57.7,81.9,3,5.3,3.3,1,5,72.2,Good,1
S0108,19,4.1,73.3,92.5,5,4.3,0.7,1,3,73.5,Good,0
S0109,20,7.5,75.2,43.7,7,8.5,1.3,1,2,85.5,Good,0
S0110,18,2.9,67.9,61.1,9,4.1,2.1,0,5,72.9,Good,1
S0111,18,7.3,72.3,92.2,4,4.7,0.4,1,5,89.5,Good,0
S0112,17,5.8,70.0,65.5,5,7.6,1.7,0,2,78.4,Good,0
S0113,19,7.0,72.0,92.1,4,6.3,1.4,1,4,82.1,Good,0
S0114,21,3.8,82.9,50.2,6,6.6,0.3,1,2,73.2,Good,0
S0115,19,1.0,77.4,43.3,6,5.5,2.4,1,2,44.7,Needs Support,1
S0116,19,6.5,63.9,89.3,6,4.8,1.8,1,2,89.7,Good,1
S0117,20,2.7,90.8,62.6,4,8.0,0.6,1,2,71.6,Good,0
S0118,22,2.0,78.1,68.0,9,4.6,3.2,0,4,75.6,Good,0
S0119,19,6.6,75.6,91.5,7,5.5,1.6,1,2,86.8,Good,0
S0120,20,5.8,87.1,52.1,4,7.8,0.1,1,5,100.0,Good,0
S0121,19,2.5,88.8,93.3,6,5.5,3.5,1,4,77.8,Good,0
S0122,20,2.9,93.2,61.8,9,8.8,1.6,0,1,76.9,Good,0
S0123,19,7.6,91.5,53.6,8,4.9,0.4,1,1,81.3,Good,0
S0124,20,2.9,85.1,52.9,10,6.6,1.2,1,1,83.8,Good,0
S0125,20,5.9,87.5,68.5,7,6.7,1.0,1,5,85.4,Good,0
S0126,21,1.9,62.1,65.7,5,6.5,0.2,1,2,67.5,Average,1
S0127,22,6.7,86.5,88.7,4,7.9,1.3,1,2,82.9,Good,0
S0128,17,1.8,66.5,42.8,4,4.2,0.7,1,2,52.0,Average,1
S0129,20,4.6,66.6,42.4,7,6.7,0.9,1,4,67.6,Average,1
S0130,19,1.2,60.4,48.4,9,7.9,2.7,1,4,69.9,Average,1
S0131,19,4.9,72.9,73.3,8,4.3,0.6,0,4,77.5,Good,0
S0132,18,6.9,55.9,83.0,5,6.7,0.1,1,4,78.9,Good,1
S0133,17,1.6,84.6,66.4,5,6.2,0.7,1,4,69.6,Average,0
S0134,19,2.9,88.7,73.8,4,6.0,1.2,1,4,63.1,Average,0
S0135,21,6.4,89.9,75.3,5,6.7,0.7,1,1,77.9,Good,0
S0136,17,5.3,60.8,41.1,3,7.1,2.4,1,2,68.1,Average,1
S0137,19,3.2,83.8,53.5,4,7.5,3.5,1,1,49.9,Needs Support,1
S0138,22,5.4,92.7,94.9,7,8.5,3.3,1,3,100.0,Good,0
S0139,22,4.2,56.6,58.2,4,7.3,1.9,1,4,63.7,Average,1
S0140,18,7.0,63.7,92.1,10,9.0,3.1,1,5,95.9,Good,1
S0141,17,3.1,67.0,67.1,4,7.3,3.2,1,5,70.6,Good,1
S0142,21,6.3,75.8,52.2,10,5.3,2.5,1,1,87.2,Good,0
S0143,17,5.4,62.7,40.1,9,4.7,3.2,1,2,66.8,Average,1
S0144,18,6.2,79.2,52.0,7,4.4,1.5,1,1,75.0,Good,0
S0145,19,3.6,70.5,57.7,5,5.3,3.0,1,3,72.1,Good,0
S0146,22,6.1,84.5,64.2,6,4.6,2.1,1,1,85.0,Good,0
S0147,17,5.9,78.9,64.6,8,7.4,3.0,1,5,88.2,Good,0
S0148,20,3.7,85.9,70.2,10,7.4,3.0,0,5,79.2,Good,0
S0149,20,1.2,66.1,66.1,5,7.1,0.3,1,5,55.5,Average,1
S0150,17,7.7,86.8,41.8,8,5.9,3.3,1,3,81.9,Good,0
S0151,22,6.0,88.1,54.7,9,6.3,0.1,0,2,88.3,Good,0
S0152,22,2.4,87.5,92.9,10,5.3,1.7,1,4,90.4,Good,0
S0153,19,6.1,58.1,41.5,5,8.6,2.4,1,1,71.2,Good,1
S0154,22,3.0,97.6,80.4,8,4.1,3.3,0,4,90.5,Good,0
S0155,20,4.3,81.0,66.2,7,5.6,0.2,1,4,76.4,Good,0
S0156,22,7.0,67.3,78.9,8,6.9,2.7,1,5,91.2,Good,1
S0157,22,4.1,74.5,58.3,5,4.9,1.4,1,3,65.7,Average,0
S0158,20,3.0,78.3,60.4,8,8.3,0.2,1,3,89.2,Good,0
S0159,18,3.1,78.3,68.4,10,6.4,1.3,0,5,64.1,Average,0
S0160,17,1.5,66.2,90.0,4,5.9,2.6,1,2,66.7,Average,1
S0161,20,2.5,66.9,58.1,10,4.3,0.3,1,5,75.0,Good,1
S0162,18,2.9,71.4,44.7,5,5.4,3.4,1,1,57.9,Average,1
S0163,21,2.2,90.1,42.1,3,6.9,0.2,1,5,78.5,Good,0
S0164,22,1.4,74.7,88.5,3,5.4,1.0,1,3,73.3,Good,0
S0165,18,4.3,56.7,57.3,7,4.2,1.3,1,2,72.8,Good,1
S0166,20,2.5,75.3,46.6,10,6.9,0.3,1,1,61.1,Average,0
S0167,17,6.2,64.1,72.8,4,5.5,3.7,1,3,81.3,Good,1
S0168,18,7.5,55.6,86.5,10,8.2,3.9,1,5,97.8,Good,1
S0169,19,2.9,99.0,73.0,3,7.5,3.6,1,5,75.7,Good,0
S0170,22,5.0,68.2,48.3,7,7.6,0.8,1,4,76.8,Good,1
S0171,22,4.5,79.2,62.3,7,8.5,3.3,0,5,76.5,Good,0
S0172,20,1.5,71.1,54.7,4,8.1,1.4,1,2,62.0,Average,0
S0173,20,1.9,57.4,40.9,9,5.6,1.2,1,5,74.0,Good,1
S0174,20,7.2,95.5,93.1,3,6.8,2.8,0,3,99.7,Good,0
S0175,17,4.3,97.1,65.3,4,5.3,0.3,1,1,74.4,Good,0
S0176,19,6.6,63.4,47.4,6,5.0,0.0,0,3,57.9,Average,1
S0177,22,1.5,73.8,88.7,5,5.0,3.7,1,5,78.6,Good,0
S0178,19,5.2,71.8,94.2,6,4.6,1.4,1,4,94.0,Good,0
S0179,18,7.1,62.5,84.9,5,5.2,3.2,1,1,82.0,Good,1
S0180,18,7.1,84.8,54.0,4,5.1,1.7,0,5,76.4,Good,0
S0181,21,1.0,90.2,50.5,7,7.4,0.4,1,5,71.6,Good,0
S0182,17,4.7,89.2,68.9,3,5.3,1.9,1,2,67.0,Average,0
S0183,22,3.6,85.4,72.1,7,4.2,0.7,1,4,83.6,Good,0
S0184,22,6.3,55.8,88.3,8,6.1,0.3,1,4,81.7,Good,1
S0185,20,1.5,65.3,93.2,6,5.0,0.1,1,1,60.0,Average,1
S0186,19,2.9,78.2,90.1,9,7.4,1.6,1,3,84.4,Good,0
S0187,21,6.7,86.6,58.8,8,5.1,1.0,1,1,73.8,Good,0
S0188,20,4.3,72.4,72.2,3,6.8,1.3,1,5,74.0,Good,0
S0189,19,4.2,75.2,46.8,6,4.9,3.8,1,1,69.3,Average,0
S0190,18,7.8,92.8,68.5,5,6.4,3.3,1,2,80.4,Good,0
S0191,19,3.2,56.1,43.9,5,8.3,2.8,1,2,66.2,Average,1
S0192,21,1.3,67.1,46.1,5,5.5,1.0,1,4,50.5,Average,1
S0193,17,3.7,68.0,46.7,9,6.6,3.0,1,2,74.3,Good,1
S0194,17,2.1,99.7,56.6,7,6.2,2.8,1,1,70.4,Good,0
S0195,21,1.6,65.2,57.0,4,4.4,2.1,1,5,53.6,Average,1
S0196,19,5.0,57.1,78.8,7,4.1,1.0,1,3,73.5,Good,1
S0197,21,7.7,73.7,44.2,6,8.2,0.8,1,1,68.0,Average,0
S0198,17,5.1,84.2,46.1,6,5.7,1.7,1,5,70.9,Good,0
S0199,22,5.5,61.9,76.1,3,7.4,1.1,1,5,72.3,Good,1
S0200,17,3.3,92.8,77.0,9,6.1,3.5,1,4,97.4,Good,0
S0201,19,5.0,63.8,79.1,10,8.2,1.9,0,1,91.7,Good,1
S0202,22,6.3,86.7,79.6,6,5.0,2.7,0,1,73.5,Good,0
S0203,17,5.1,62.3,76.5,5,6.4,3.6,1,1,80.6,Good,1
S0204,20,6.6,94.7,70.4,5,6.7,2.5,1,5,92.3,Good,0
S0205,21,4.9,64.1,80.8,6,8.0,0.6,1,3,78.4,Good,1
S0206,19,2.4,87.9,44.5,9,4.1,1.3,1,3,71.1,Good,0
S0207,17,5.1,92.7,51.6,10,5.8,3.7,1,4,91.7,Good,0
S0208,20,4.4,66.5,80.8,9,6.4,0.2,0,3,77.5,Good,1
S0209,19,2.2,59.2,50.6,8,6.9,0.9,1,3,61.3,Average,1
S0210,22,5.3,81.4,69.2,10,4.7,2.5,1,5,90.7,Good,0
S0211,21,6.7,77.5,54.3,3,6.7,3.4,1,5,71.5,Good,0
S0212,19,1.9,76.6,63.7,4,7.5,3.3,1,3,64.8,Average,0
S0213,17,4.8,90.2,85.9,5,7.7,2.9,1,4,86.7,Good,0
S0214,20,6.1,75.8,76.3,4,5.1,2.8,1,2,74.3,Good,0
S0215,18,3.8,77.4,64.5,8,6.2,1.5,1,2,69.5,Average,0
S0216,21,2.9,76.9,55.0,6,5.5,0.2,1,3,68.6,Average,0
S0217,22,3.6,75.5,84.3,4,5.9,2.5,0,5,81.2,Good,0
S0218,19,4.8,73.3,76.1,10,5.8,0.3,1,4,90.2,Good,0
S0219,22,5.8,62.2,64.2,5,8.7,3.2,1,4,73.0,Good,1
S0220,20,4.9,68.3,87.8,7,4.1,0.5,1,2,86.7,Good,1
S0221,20,1.7,66.9,78.1,7,8.7,0.1,1,5,75.2,Good,1
S0222,21,6.7,66.2,93.9,7,4.2,4.0,1,1,92.6,Good,1
S0223,21,7.5,90.2,76.5,9,4.4,0.7,1,3,100.0,Good,0
S0224,22,1.7,60.1,89.5,5,5.0,2.3,1,2,58.1,Average,1
S0225,22,2.7,64.2,70.3,6,5.4,0.2,1,5,68.6,Average,1
S0226,17,2.2,78.7,79.1,10,8.3,3.9,1,1,74.4,Good,0
S0227,19,6.9,69.1,86.3,7,8.2,0.1,1,1,84.7,Good,1
S0228,22,7.4,65.8,45.0,4,8.7,2.8,1,1,90.2,Good,1
S0229,18,1.3,71.8,66.1,3,5.9,3.4,1,4,65.7,Average,0
S0230,17,3.3,77.6,73.3,7,4.1,1.2,1,1,58.3,Average,1
S0231,20,2.3,85.3,43.2,4,7.1,0.0,1,5,65.9,Average,0
S0232,21,4.3,98.7,83.4,8,8.5,0.1,1,3,87.4,Good,0
S0233,21,7.5,93.4,79.4,6,4.5,0.2,1,2,100.0,Good,0
S0234,21,1.5,74.3,91.5,9,8.1,3.0,1,2,78.8,Good,0
S0235,20,2.2,75.3,60.5,3,4.0,2.1,0,2,53.6,Average,1
S0236,17,4.4,73.7,65.8,9,7.7,3.6,1,1,80.8,Good,0
S0237,22,4.7,65.8,90.2,9,6.5,2.5,1,1,88.2,Good,1
S0238,19,6.2,97.8,62.6,6,8.5,2.4,1,4,90.2,Good,0
S0239,22,4.1,58.1,85.9,7,8.4,0.8,1,1,76.7,Good,1
S0240,21,2.0,64.2,63.2,5,4.2,0.9,1,4,59.6,Average,1
S0241,22,3.5,84.8,58.6,7,6.5,3.9,1,4,79.2,Good,0
S0242,17,7.9,81.5,55.2,10,5.2,3.8,1,5,87.3,Good,0
S0243,22,6.3,67.5,51.7,3,6.2,1.8,1,2,70.3,Good,1
S0244,20,1.8,97.2,63.7,7,4.3,3.2,0,1,64.5,Average,0
S0245,19,6.7,73.4,48.9,8,5.8,2.9,1,3,78.4,Good,0
S0246,21,3.2,81.8,85.5,5,6.0,1.1,1,4,83.1,Good,0
S0247,22,6.5,59.1,93.6,4,4.0,0.8,1,2,71.7,Good,1
S0248,20,1.1,95.1,45.4,4,6.4,3.0,1,2,54.0,Average,1
S0249,17,7.1,59.6,43.0,3,8.5,3.9,1,4,67.3,Average,1
S0250,21,2.1,72.7,40.2,9,4.3,3.9,1,3,66.2,Average,0
S0251,18,4.2,94.9,91.3,7,8.7,1.4,1,5,90.0,Good,0
S0252,18,5.6,97.5,44.1,9,6.4,0.3,1,3,84.5,Good,0
S0253,18,4.6,95.7,77.4,6,5.1,1.3,1,4,87.3,Good,0
S0254,18,2.2,92.2,56.7,7,8.8,0.3,1,3,60.7,Average,0
S0255,22,2.0,65.5,50.9,10,6.4,4.0,1,1,68.3,Average,1
S0256,19,3.0,56.4,53.5,6,6.2,1.2,1,3,56.9,Average,1
S0257,17,1.4,75.3,77.9,7,5.9,3.4,1,4,68.6,Average,0
S0258,18,2.5,57.8,41.0,8,8.4,1.0,1,5,64.5,Average,1
S0259,19,1.9,98.2,87.6,8,4.6,3.8,1,1,83.3,Good,0
S0260,19,4.3,55.4,71.2,10,5.1,2.0,1,4,85.3,Good,1
S0261,18,3.5,69.6,53.0,9,5.4,3.3,1,3,84.9,Good,1
S0262,22,5.1,64.1,51.5,7,4.3,2.4,1,2,71.6,Good,1
S0263,22,3.0,55.6,76.0,7,8.2,3.1,1,2,68.1,Average,1
S0264,20,1.2,77.5,74.6,9,6.4,0.3,1,4,69.6,Average,0
S0265,22,3.3,58.4,57.5,9,7.0,0.4,1,3,76.3,Good,1
S0266,19,6.3,95.5,58.4,10,8.4,1.4,1,1,100.0,Good,0
S0267,17,2.8,85.9,65.5,10,6.5,3.5,1,5,84.2,Good,0
S0268,18,3.8,71.7,90.1,9,5.4,3.6,1,4,81.3,Good,0
S0269,17,6.3,92.9,69.6,4,6.7,2.8,1,4,88.0,Good,0
S0270,22,3.8,90.9,86.2,6,6.5,2.4,1,3,85.1,Good,0
S0271,18,7.2,69.7,75.2,3,5.5,0.2,1,5,84.4,Good,1
S0272,19,7.4,93.1,70.9,4,5.2,3.7,1,2,81.1,Good,0
S0273,18,3.2,96.8,66.9,4,5.8,2.6,1,5,55.6,Average,1
S0274,22,6.2,82.9,77.4,8,7.7,2.5,0,4,87.9,Good,0
S0275,17,2.8,70.8,67.0,5,4.8,3.4,0,4,72.8,Good,0
S0276,20,2.0,95.5,79.9,9,9.0,0.9,1,1,82.6,Good,0
S0277,22,4.1,97.4,50.0,8,5.2,2.5,0,2,57.5,Average,1
S0278,20,5.2,70.6,57.7,10,5.4,2.7,1,1,79.2,Good,0
S0279,22,7.5,58.9,88.0,3,4.6,3.0,1,2,68.5,Average,1
S0280,22,2.0,94.1,61.7,4,6.0,0.4,0,2,77.3,Good,0
S0281,21,6.0,84.9,86.4,9,5.9,2.9,1,3,96.5,Good,0
S0282,21,4.3,65.4,91.6,3,7.4,3.6,1,3,67.6,Average,1
S0283,20,1.9,80.5,71.8,5,8.5,2.5,1,4,76.7,Good,0
S0284,20,7.8,68.9,45.6,8,5.2,0.7,0,4,77.0,Good,1
S0285,21,5.9,96.4,81.6,6,8.0,3.7,1,3,96.7,Good,0
S0286,19,1.9,70.4,76.6,9,5.5,0.4,0,2,69.9,Average,0
S0287,22,7.3,63.8,56.0,3,6.0,0.9,1,4,68.0,Average,1
S0288,22,1.7,56.9,87.5,3,4.6,3.4,1,3,65.8,Average,1
S0289,19,1.6,70.4,66.5,10,8.5,2.4,1,4,64.8,Average,0
S0290,19,3.3,99.5,43.1,7,5.9,1.3,1,5,83.9,Good,0
S0291,21,7.6,64.8,43.7,4,7.5,3.2,1,1,74.6,Good,1
S0292,22,1.2,75.6,52.6,5,4.1,2.6,1,5,50.4,Average,1
S0293,17,7.4,98.7,73.5,4,7.5,0.5,1,5,81.0,Good,0
S0294,17,5.3,55.3,84.8,10,5.1,0.9,1,4,99.7,Good,1
S0295,18,1.5,68.3,45.4,5,6.3,3.2,1,3,66.1,Average,1
S0296,19,5.0,92.0,41.2,5,7.4,3.2,1,2,63.0,Average,0
S0297,17,4.2,59.3,74.2,10,4.9,0.3,1,3,92.1,Good,1
S0298,20,4.9,96.8,62.5,3,6.6,2.1,1,3,77.5,Good,0
S0299,20,6.2,92.6,64.3,9,8.2,2.9,1,3,91.6,Good,0
S0300,22,5.8,61.4,85.1,9,4.8,1.3,1,5,89.4,Good,1
S0301,21,8.0,81.7,90.5,3,6.3,0.3,1,3,90.8,Good,0
S0302,18,2.1,80.0,93.2,5,4.9,1.7,1,5,86.1,Good,0
S0303,21,6.7,86.2,82.9,10,4.7,3.7,1,5,100.0,Good,0
S0304,21,3.9,68.8,40.2,6,6.4,2.9,1,5,53.5,Average,1
S0305,21,6.5,72.3,48.3,8,6.3,0.9,1,5,99.4,Good,0
S0306,21,7.2,65.8,72.3,4,7.2,3.4,1,2,88.9,Good,1
S0307,18,7.9,68.1,92.5,9,8.3,2.7,0,2,91.5,Good,1
S0308,21,2.9,62.9,44.5,5,7.5,1.2,1,2,56.4,Average,1
S0309,17,4.2,95.7,68.3,4,5.7,1.1,0,3,67.2,Average,0
S0310,20,7.6,94.9,61.8,4,6.4,0.7,1,2,86.6,Good,0
S0311,22,7.6,71.2,62.4,9,7.4,1.6,0,4,94.6,Good,0
S0312,22,3.6,86.2,54.8,5,8.2,1.4,1,4,74.9,Good,0
S0313,18,7.6,77.1,54.9,7,7.4,1.1,1,2,82.2,Good,0
S0314,18,3.8,67.6,53.1,7,6.5,3.5,0,5,64.4,Average,1
S0315,20,3.6,70.7,45.7,6,4.7,3.0,1,4,71.6,Good,0
S0316,19,6.3,98.4,70.5,5,8.3,2.0,1,3,88.9,Good,0
S0317,21,4.3,70.4,64.5,3,5.4,3.9,1,4,85.6,Good,0
S0318,18,4.1,81.0,79.2,8,6.0,2.7,1,3,77.1,Good,0
S0319,18,3.7,97.5,75.2,6,8.4,3.8,1,2,87.6,Good,0
S0320,17,4.0,68.4,92.4,10,5.0,3.3,1,4,88.1,Good,1
S0321,19,2.0,91.4,58.7,4,8.6,2.5,1,2,59.8,Average,1
S0322,18,1.4,60.1,88.5,7,5.1,2.8,1,3,78.6,Good,1
S0323,18,6.3,88.0,61.2,3,4.4,3.1,1,3,78.0,Good,0
S0324,22,5.0,91.3,76.3,3,6.6,3.0,1,3,72.9,Good,0
S0325,21,5.7,92.7,84.3,6,8.0,3.5,1,5,91.8,Good,0
S0326,22,6.6,98.9,61.8,10,6.0,1.4,1,1,100.0,Good,0
S0327,20,2.6,87.0,64.5,8,8.2,1.5,1,4,68.6,Average,0
S0328,17,2.6,99.0,74.7,4,6.0,1.0,1,1,80.8,Good,0
S0329,21,2.9,67.5,46.1,10,8.1,3.7,1,3,76.5,Good,1
S0330,20,3.1,78.5,69.2,5,4.6,3.6,1,3,66.9,Average,0
S0331,22,6.3,64.6,45.2,5,5.4,1.8,1,3,81.9,Good,1
S0332,19,3.6,58.8,52.4,7,4.6,1.6,1,2,77.0,Good,1
S0333,18,3.3,74.8,74.3,10,7.7,0.5,1,4,88.3,Good,0
S0334,20,5.5,87.4,93.5,7,6.3,3.9,1,1,91.6,Good,0
S0335,19,2.3,90.0,95.0,5,7.3,2.7,1,1,90.4,Good,0
S0336,20,1.7,55.8,54.3,5,5.2,3.9,1,5,68.4,Average,1
S0337,19,5.9,97.4,48.0,4,7.7,2.5,1,3,71.8,Good,0
S0338,18,6.3,66.1,68.5,6,9.0,2.1,1,4,84.1,Good,1
